name,address,city,state,zip_code,phone,email,website,description,service_types,years_in_business,rentals_managed,bbb_rating,management_fee,tenant_placement_fee,lease_renewal_fee,miscellaneous_fees,source_city,source_state,source_url
Great Land Property Management & Sales,"11411 Old Glenn Hwy, Eagle River, AK 99577",Anchorage,AK,11411,907-694-1221,,,"Great Land Property Management & Sales provides real estate brokerage and property management services for residential properties throughout Anchorage. Great Land Management & Sales works with investors and property owners to provide investment property services spanning from start to finish to help make rental income more accessible to you. They can assist with buying a new property or making the most of your existing property through expert-guided brokerage, leasing, and daily management services that help you achieve passive income. Services begin with a free rental analysis that provides you with a rent estimate and recommendations for cost-effective improvements to help make sure you’re maximizing your earning potential before moving forward with the leasing services required to place a tenant in your vacancy. Great Land Management’s leasing includes all marketing and showing of the property to get it in front of as many eyes as possible as well as screening for income and rental history to be sure your property is in good hands. During the lease term, they assume the role of the landlord so that you don’t have to be on-call for things like maintenance coordination, rent collection, and other tenant support that takes away your ability to spend your free time how you want to. Great Land handles these responsibilities plus all lease management to maintain consistent income and reporting to help you stay up to date on everything happening with your property.",Residential only,37+ years,Unknown,A,10% of monthly rent ($250 max),$250 with management or $1000 for tenant placement only,$500,$250 setup fee,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
"Hemlane, Inc.","218 9th St, San Francisco, CA 94103",Anchorage,AK,94103,855-720-0224,,,"Hemlane, Inc. offers rental management solutions for property owners throughout the Anchorage area. Hemlane is a full-service Anchorage property management provider working to provide affordable and efficient services through leading-edge software that gives you total control. Management is all on your terms, and you’re provided complete transparency throughout the leasing process thanks to your owner portal. Once you’re ready to get started, you’ll be matched with the local real estate professional best suited to meet your needs, and with more than a decade of combined property management experience, you can rest assured that their team will treat your property with the utmost care. Hemlane boasts a 4.8-star approval rating and prides themselves on the time and money they’ve saved clients nationwide.Go to website >>",Residential only,7+ years,Unknown,A-,$30 – $60 per month depending on the service plan,$595,,$475 pre-eviction fee,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
Buyers Real Estate Property Management,"4141 B St. Suite #310, Anchorage, AK 99503",Anchorage,AK,99503,907-561-2256,,,"Buyers Real Estate Property Management works with residential property owners and investors in Anchorage. Buyers Real Estate PM takes over the day-to-day responsibilities of managing your property, allowing you to be hands-off while they generate passive income and maximize your property’s value. Their services begin with a complimentary rental analysis to determine your expected monthly income and identify any renovations that could improve your earning potential. As part of their leasing services, they will market and advertise your property on the MLS and multiple major listing sites, show it to prospective tenants, screen applicants for rental, criminal, and credit history and income proof, draft and execute the lease, and collect the security deposit. During tenancy, Buyers Real Estate PM coordinates maintenance, collects rent and disburses it to you, performs routine inspections, communicates with tenants, processes lease renewals and evictions, and provides monthly and end-of-year financial statements.",Residential only,11+ years,750+,A,10% of monthly rent,the greater of $600 or 50% of one month’s rent,,,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
Real Property Management Last Frontier,"810 N Street #305 Anchorage, AK 99501",Anchorage,AK,99501,907-268-4779,,,"Real Property Management Last Frontier has over a decade of experience providing complete management solutions for all kinds of Anchorage real estate. RPM Last Frontier works to provide optimal profitability and help you achieve the greatest return on your investment possible with as little time investment or stress as possible. Their team evaluates your property to outline expected earning potential, assists with creating a budget, and transitions your property to the rental market with cost-effective improvements or renovations that shorten the vacancy period and increase income. Tenant placement includes creation of a vacancy listing that is syndicated throughout local and online rental resources, showings conducted by licensed agents, in-depth screening that ensures your potential tenant choice provides the best chance at a low-cost and stress-free tenancy, and a custom lease that protects you legally & financially. RPM Last Frontier’s daily management takes care of all tenant relations, inspections, maintenance, rent collection, bill payment, renewals, evictions, and reporting to allow your property to generate income for you autonomously while you spend your free time how you want to.",Residential and commercial,10+ years,Unknown,A,minimum $29.95,,,,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
AK Group Property Management,"101 W Benson Blvd, Suite 308, Anchorage, AK 99503",Anchorage,AK,99503,907-865-6584,,,"AK Group Property Management specializes in residential properties, working with both investment properties and HOAs throughout the Greater Anchorage area. AK Group PM manages all types of residential property, offering custom-tailored solutions that save you time while maximizing your income and minimizing your expenses thanks to local expertise & full-service management spanning the entire rental process. They begin with a free rental assessment to get an accurate quote for your property that helps you create an effective budget and make an informed decision about whether or not to move forward with the rental process. Once you’re ready to get started, their management team will create a listing and market it through online rental sites and local resources to reach a wide range of potential tenants to help find the ideal tenant. All applicants will be screened for information like criminal or rental history and their current income so that you can be confident in their ability to be a successful tenant and facilitate a stress-free tenancy. During the lease, AK Group uses online tenant and owner portals to provide accessible communication and on-demand services for a better experience. The tenant portal allows for anytime rent payment, communication, and maintenance requests while the owner portal lets you generate financial summaries each month so that you can track your investment’s performance. AK Group also works with HOAs to provide tailored management solutions spanning everything from administrative assistance like recordkeeping & meeting attendance to maintenance like upkeep of individual properties and common areas to financial management of due collections & budgeting. They work with the Board to ensure your association has everything it needs to thrive while maintaining the cash flow necessary to facilitate the services it requires.",Residential and HOA,4+ years,200+,N/A,Contact for pricing,,,,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
"PacRim Properties, LLC","405 W. 27th Ave, Anchorage, AK 99503",Anchorage,AK,99503,907-563-3345,,,"PacRim Properties provides real estate brokerage, property management, and association management solutions to the Greater Anchorage area. PacRim Properties does it all, offering complete real estate investment solutions for residential & commercial properties that save time, money, and stress. Their real estate services aim to find you the best investment opportunities on the market so that you can achieve the maximum return on your investment as quickly as possible regardless of your experience level or desired level of time investment. Vacant properties will be filled with a high-quality tenant who passes their in-depth screening process to ensure your property is well taken care of and all properties receive their own custom lease that ensures legal compliance to protect you as much as possible. PacRim’s daily management entirely takes over the day-to-day needs of the tenancy so that you can avoid being on call for tenant issues or chasing down rent each month. Tenant relations, rent collection, bill payment, inspections, maintenance coordination, lease management and reporting are included in their solutions to ensure your property and tenancy have everything they need to generate income for you. HOA management works for both condominium communities and HOAs, working to optimize your operations for time and cost efficiency while ensuring all bookkeeping is done correctly & accessible, maintenance needs are addressed in a timely manner, owners receive priority support for all communications, the budget is approved, meeting attendance is fulfilled, and much more that help the Board to achieve their goals for the community with expert guidance.","Residential, commercial and HOA",8+ years,Unknown,A,Contact for pricing,,,,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
"Paragon Properties, Inc","12350 Industry Way Suite 205, Anchorage, AK 99503",Anchorage,AK,12350,907-349-1200,,,"Paragon Properties, Inc is a full-service property management company serving residential property owners in Anchorage and the surrounding areas. Paragon Properties works to eliminate the headaches of leasing your property, handling all of the necessary day-to-day operations so you can enjoy passive rental income without the added stresses of being a landlord. Whether you need assistance finding tenants or want to be completely hands-off, they can assist at any step of the way with plans customized to your individual needs. Leasing services include all marketing, showings, tenant screening, lease drafting, security deposit escrow, and move-in procedures. During the lease, Paragon Properties handles coordinating maintenance, conducting inspections, enforcing the lease, paying property expenses, collecting and disbursing rent, preparing monthly income and expense reports, negotiating renewals, and filing evictions when necessary.",Residential only,1+ years,Unknown,A,Contact for pricing,,,,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
Roy Briley Rental and Property Management,"1577 C. Street #101B, Anchorage, AK 99501",Anchorage,AK,99501,907-343-8944,,,"Roy Briley Rental and Property Management has over four decades of experience providing Anchorage property management services to residential homeowners and investors. Roy Briley PM strives to eliminate the hassles of renting out your property, handling all daily operations since you don’t have to. Their team has served the local community as a trusted firm for more than 40 years, and they have put their extensive experience into helping clients achieve their financial goals. Because of their commitment to excellence and continuing education, they stay up-to-date on local laws and regulations that may impact your investment and they are constantly innovating to provide the quality of service that you deserve. At 4.6 stars, Roy Briley PM is one of the top-rated providers of property management in Anchorage, proving their well-earned positive reputation as clients praise their professionalism, kindness, and responsiveness.",Residential only,43+ years,600+,B,Contact for pricing,,,,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
"O’Banion Real Estate and Relocation Services, LLC","401 E Fireweed Ln, Ste 100 Anchorage, AK, 99507",Anchorage,AK,99507,907-562-0291,,,"O’Banion Real Estate and Relocation Services handles sales, leasing, and management for residential properties throughout Anchorage. O’Banion specializes in residential property, offering both real estate brokerage services and complete management for both individual properties and associations. Their real estate services use local knowledge to help you find a property that would thrive as a rental property, assist with acquiring it quickly, and prepare it for the rental market for a turnkey investment solution that saves time, money, and stress. Vacant properties will be marketed through the MLS and online rental sites with showings completed by licensed agents who can help endear potential tenants to the property for shorter vacancy periods while also conducting background checks on applicants for rental history and income information to help you make the best choice for a tenant. During the lease term, O’Banion oversees the upkeep & maintenance of your property through regular inspections, preventative maintenance, timely maintenance coordination, and 24/7 emergency support to help limit disasters. They’ll also collect the rent and make sure all applicable bills are paid to maintain consistent income that you can rely on. HOA management coordinates with the Board to provide owner support, meeting coordination & attendance, recordkeeping, dues collection, budgeting & forecasting, full bookkeeping, maintenance, project oversight, vendor negotiations, and much more to maintain a high quality standard in your community.",Residential and HOA,18+ years,400+,N/A,Contact for pricing,,,,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
Real Estate Solutions of Alaska,"2500 Sentry Drive Suite A, Anchorage, AK 99507",Anchorage,AK,99507,907-243-5770,,,"Real Estate Solutions of Alaska works with both residential and commercial properties throughout Anchorage. Real Estate Solutions of Alaska manages all types of rental properties, helping with everything from leasing to daily management to ensure that you can access the profitability a rental property affords you regardless of your experience level or amount of free time. They take care of everything on your behalf for a totally hands-off solution that includes marketing of your vacant property, showings, screening of all applicants, and custom lease drafting for each property to ensure you’re as protected as possible during the lease term. RES Alaska also assumes the role of the landlord during the lease to address the property and tenant needs that arise in a timely manner to not only protect your property but also to provide a high-quality experience for your tenant that fosters longer relationships and more consistent rent payments for superior cash flow. All of the relevant information about your property is recorded and accessible through the online owner portal, including financial summaries, inspection reports, maintenance reports, and more.",Residential and commercial,14+ years,Unknown,A,Contact for pricing,,,,Anchorage,AK,https://ipropertymanagement.com/companies/anchorage-ak
